,State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,state,number_of_years_of_education,number_of_solar_system_per_household,housing_unit_median_value,household_count,solar_system_count_residential,total_panel_area_residential,daily_solar_radiation,electricity_price_residential,square_miles,pop_density
0,42,Pennsylvania,12794885,40.9,63627,35518,1480430,11.57048305,2.745222016,pa,13.47296315,0.001049871,150700,4270226,8238,202549.1045,3.715774596,13.64,46055,277.8175008
1,6,California,39346023,36.7,78672,38576,4853434,12.3352594,3.123769332,ca,13.40957059,0.030414186,362850,12542060,625476,15768031.28,5.128937068,16.99,163696,240.3603203
2,54,West Virginia,1807426,42.7,48037,27346,300152,16.60659966,2.878734731,wv,12.86015286,0,95600,714719,499,11229.05033,3.786638116,10.08,24038,75.19036526
3,49,Utah,3151239,31.1,74197,30986,283360,8.992018695,1.835119456,ut,13.95278666,0.010257333,208200,795526,11149,253506.4749,4.68845098,10.88,84899,37.11750433
4,36,New York,19514849,39,71117,40898,2581048,13.22607211,2.923773584,ny,13.65585764,0.001493096,354650,6925678,52873,1366821.707,3.821709439,18.54,54556,357.7030757
5,11,District of Columbia,701974,34.1,90842,58659,103391,14.72860818,4.17251921,dc,14.79959967,0.006762468,432800,240110,1833,45906.41711,3.984444444,12.99,68.34,10271.78812
7,12,Florida,21216924,42.2,57703,32848,2772939,13.06946756,2.621082114,fl,13.45736007,0.006778129,143100,7269480,140081,3717082.541,4.827879524,11.58,65758,322.6516013
8,45,South Carolina,5091517,39.7,54864,30727,726470,14.26824265,2.660975108,sc,13.25904421,0.001246106,124900,1579901,4569,122116.3651,4.379648188,12.57,32020,159.0105247
9,38,North Dakota,760394,35.2,65315,36289,77491,10.19090103,1.691360005,nd,13.5994654,0.000356761,126100,252332,273,5715.009187,3.735085714,9.62,70705,10.75445867
10,23,Maine,1340825,44.8,59489,33774,144384,10.76829564,2.121231331,me,13.69205881,0,167800,454650,457,9935.72949,3.601678571,15.61,35385,37.89246856
11,13,Georgia,10516579,36.9,61224,32427,1461572,13.89778939,2.771870967,ga,13.31144907,0.000532056,123950,3546209,3268,81139.06076,4.342072917,11.54,59425,176.9723012
12,1,Alabama,4893186,39.2,52035,28934,762642,15.58579625,2.561582576,al,13.00380807,0.000430489,104550,1843070,1652,41291.33624,4.362101201,11.7,52419,93.34756481
13,33,New Hampshire,1355244,43,77923,41234,97418,7.188225884,2.101392812,nh,13.98483097,0.001217039,230500,458730,1234,30538.72949,3.641361868,18.5,9349,144.9613862
14,41,Oregon,4176346,39.5,65667,35393,506558,12.12921535,2.784659125,or,13.86108813,0.006735341,225900,1324969,12513,279018.562,3.780534459,10.66,98466,42.41409217
15,56,Wyoming,581348,38,65304,34415,61006,10.49388662,2.274369225,wy,13.67301052,0.001514018,188200,217609,455,9787.672909,4.35483871,10.97,97914,5.937332761
16,4,Arizona,7174064,37.9,61529,32340,990528,13.80706947,2.778871223,az,13.45967129,0.021081276,151050,2397525,83476,2587873.644,5.386253351,12.13,113998,62.93149003
17,22,Louisiana,4664616,37.2,50800,29522,845230,18.12003389,3.046081392,la,12.97997042,0.005973716,131700,1333780,15366,453892.7623,4.403387283,9.33,52378,89.05677956
18,18,Indiana,6696893,37.8,58235,30693,838149,12.51549039,2.387151773,in,13.13849258,0.000656168,109600,2495713,2678,60147.98966,3.843255191,11.57,36418,183.8896425
19,16,Idaho,1754367,36.6,58915,29494,205676,11.72365873,2.049457155,id,13.49612266,0.001561896,156350,587715,1252,24590.32084,4.326385135,9.93,83642,20.97471366
20,9,Connecticut,3570549,41.1,79855,45668,339156,9.498707342,3.255353729,ct,14.0031598,0.00941704,244100,1345439,15688,422717.7021,3.785595092,20.94,5543,644.1546094
22,17,Illinois,12716164,38.3,68428,37306,1488670,11.70691098,3.10739937,il,13.60739159,0.000685401,160850,4766292,5414,117364.617,3.849818653,12.5,57915,219.5659846
